rating,guest,trip_type,length_of_stay,title,review,review_date,country,stay_date,review_year,review_month,stay_year,stay_month,stopword_text,lemmatized_text,tokenized_text,hotel,channel,room_type,sentiment
10,jia-jhen,group,2,three friends travel together,chose pool view suite pool right outside door shown cover photo room spacious comfortable pay attention closing door quickly may small mosquitoes water greenery next pool view hotel provides free shuttle service hotel ubuds performance center near market although frequency shuttle high hotel staff friendly always smiling greet warmly proactively,10/25/2023,taiwan,10/1/2023,2023,october,2023,october,chose pool view suite pool right outside door shown cover photo room spacious comfortable pay attention closing door quickly may small mosquitoes water greenery next pool view hotel provides free shuttle service hotel ubuds performance center near market although frequency shuttle high hotel staff friendly always smiling greet warmly proactively,chose pool view suite pool right outside door shown cover photo room spacious comfortable pay attention closing door quickly may small mosquito water greenery next pool view hotel provides free shuttle service hotel ubuds performance center near market although frequency shuttle high hotel staff friendly always smiling greet warmly proactively,"['chose', 'pool', 'view', 'suite', 'pool', 'right', 'outside', 'door', 'shown', 'cover', 'photo', 'room', 'spacious', 'comfortable', 'pay', 'attention', 'closing', 'door', 'quickly', 'may', 'small', 'mosquitoes', 'water', 'greenery', 'next', 'pool', 'view', 'hotel', 'provides', 'free', 'shuttle', 'service', 'hotel', 'ubuds', 'performance', 'center', 'near', 'market', 'although', 'frequency', 'shuttle', 'high', 'hotel', 'staff', 'friendly', 'always', 'smiling', 'greet', 'warmly', 'proactively']",adiwana unagi suites,agoda,,pos
10,nurten,couple,5,exceptional stay adiwana unagi,recent stay adiwana unagi bali nothing short exceptional moment arrived felt welcomed wellcared incredible staff villa spacious clean beautifully designed providing serene comfortable retreat hotels services outstanding ensuring every aspect stay seamless enjoyable evening turndown service lovely touch adding overall comfort luxury stay restaurant adiwana unagi lovely serving delicious meals daily thoroughly enjoyed meal delightful experience adding charm stay truly stood wonderful staff attentive friendly made us feel like part family special thank bisena merta putu prabi tutik edi ratna setia okta deni rest lovely team warmth dedication made stay unforgettable adiwana unagi surpassed expectations already looking forward next visit highly recommended anyone seeking perfect blend luxury comfort genuine balinese hospitality,5/28/2024,united kingdom,5/1/2024,2024,may,2024,may,recent stay adiwana unagi bali nothing short exceptional moment arrived felt welcomed wellcared incredible staff villa spacious clean beautifully designed providing serene comfortable retreat hotels services outstanding ensuring every aspect stay seamless enjoyable evening turndown service lovely touch adding overall comfort luxury stay restaurant adiwana unagi lovely serving delicious meals daily thoroughly enjoyed meal delightful experience adding charm stay truly stood wonderful staff attentive friendly made us feel like part family special thank bisena merta putu prabi tutik edi ratna setia okta deni rest lovely team warmth dedication made stay unforgettable adiwana unagi surpassed expectations already looking forward next visit highly recommended anyone seeking perfect blend luxury comfort genuine balinese hospitality,recent stay adiwana unagi bali nothing short exceptional moment arrived felt welcomed wellcared incredible staff villa spacious clean beautifully designed providing serene comfortable retreat hotel service outstanding ensuring every aspect stay seamless enjoyable evening turndown service lovely touch adding overall comfort luxury stay restaurant adiwana unagi lovely serving delicious meal daily thoroughly enjoyed meal delightful experience adding charm stay truly stood wonderful staff attentive friendly made u feel like part family special thank bisena merta putu prabi tutik edi ratna setia okta deni rest lovely team warmth dedication made stay unforgettable adiwana unagi surpassed expectation already looking forward next visit highly recommended anyone seeking perfect blend luxury comfort genuine balinese hospitality,"['recent', 'stay', 'adiwana', 'unagi', 'bali', 'nothing', 'short', 'exceptional', 'moment', 'arrived', 'felt', 'welcomed', 'wellcared', 'incredible', 'staff', 'villa', 'spacious', 'clean', 'beautifully', 'designed', 'providing', 'serene', 'comfortable', 'retreat', 'hotels', 'services', 'outstanding', 'ensuring', 'every', 'aspect', 'stay', 'seamless', 'enjoyable', 'evening', 'turndown', 'service', 'lovely', 'touch', 'adding', 'overall', 'comfort', 'luxury', 'stay', 'restaurant', 'adiwana', 'unagi', 'lovely', 'serving', 'delicious', 'meals', 'daily', 'thoroughly', 'enjoyed', 'meal', 'delightful', 'experience', 'adding', 'charm', 'stay', 'truly', 'stood', 'wonderful', 'staff', 'attentive', 'friendly', 'made', 'us', 'feel', 'like', 'part', 'family', 'special', 'thank', 'bisena', 'merta', 'putu', 'prabi', 'tutik', 'edi', 'ratna', 'setia', 'okta', 'deni', 'rest', 'lovely', 'team', 'warmth', 'dedication', 'made', 'stay', 'unforgettable', 'adiwana', 'unagi', 'surpassed', 'expectations', 'already', 'looking', 'forward', 'next', 'visit', 'highly', 'recommended', 'anyone', 'seeking', 'perfect', 'blend', 'luxury', 'comfort', 'genuine', 'balinese', 'hospitality']",adiwana unagi suites,agoda,,pos
10,edward,couple,3,incredible hotel incredibly charming staff,wife stayed honeymoon immediately blown away beautiful venue was room spacious clean view infinity pool overlooking forest breathtaking hotel excellent spa tejas spa amazing restaurant elys restaurant entertainment night live musical performances balinese dances also order food cocktails enjoy poolside room theres even complimentary shuttle take tofrom ubud center true highlight hotel however wonderful staff every employee came across friendly welcoming felt like found second home moment walked doors young gentleman named dewa offered us tea checked us in oriented us hotel rooms restaurant waitstaff  nyoman cintya laksmini  quick attentive needs even staff work us directly incredibly professional responsive guestscustomers hotel truly knows hospitality hard say goodbye amazing place end vacation wife already intend visiting ubud one day without doubt would select adiwana unagi suites stay heartbeat,8/9/2023,united states,8/1/2023,2023,august,2023,august,wife stayed honeymoon immediately blown away beautiful venue room spacious clean view infinity pool overlooking forest breathtaking hotel excellent spa tejas spa amazing restaurant elys restaurant entertainment night live musical performances balinese dances also order food cocktails enjoy poolside room theres even complimentary shuttle take tofrom ubud center true highlight hotel however wonderful staff every employee came across friendly welcoming felt like found second home moment walked doors young gentleman named dewa offered us tea checked us oriented us hotel rooms restaurant waitstaff nyoman cintya laksmini quick attentive needs even staff work us directly incredibly professional responsive guestscustomers hotel truly knows hospitality hard say goodbye amazing place end vacation wife already intend visiting ubud one day without doubt would select adiwana unagi suites stay heartbeat,wife stayed honeymoon immediately blown away beautiful venue wa room spacious clean view infinity pool overlooking forest breathtaking hotel excellent spa tejas spa amazing restaurant elys restaurant entertainment night live musical performance balinese dance also order food cocktail enjoy poolside room there even complimentary shuttle take tofrom ubud center true highlight hotel however wonderful staff every employee came across friendly welcoming felt like found second home moment walked door young gentleman named dewa offered u tea checked u in oriented u hotel room restaurant waitstaff nyoman cintya laksmini quick attentive need even staff work u directly incredibly professional responsive guestscustomers hotel truly know hospitality hard say goodbye amazing place end vacation wife already intend visiting ubud one day without doubt would select adiwana unagi suite stay heartbeat,"['wife', 'stayed', 'honeymoon', 'immediately', 'blown', 'away', 'beautiful', 'venue', 'was', 'room', 'spacious', 'clean', 'view', 'infinity', 'pool', 'overlooking', 'forest', 'breathtaking', 'hotel', 'excellent', 'spa', 'tejas', 'spa', 'amazing', 'restaurant', 'elys', 'restaurant', 'entertainment', 'night', 'live', 'musical', 'performances', 'balinese', 'dances', 'also', 'order', 'food', 'cocktails', 'enjoy', 'poolside', 'room', 'theres', 'even', 'complimentary', 'shuttle', 'take', 'tofrom', 'ubud', 'center', 'true', 'highlight', 'hotel', 'however', 'wonderful', 'staff', 'every', 'employee', 'came', 'across', 'friendly', 'welcoming', 'felt', 'like', 'found', 'second', 'home', 'moment', 'walked', 'doors', 'young', 'gentleman', 'named', 'dewa', 'offered', 'us', 'tea', 'checked', 'us', 'in', 'oriented', 'us', 'hotel', 'rooms', 'restaurant', 'waitstaff', 'nyoman', 'cintya', 'laksmini', 'quick', 'attentive', 'needs', 'even', 'staff', 'work', 'us', 'directly', 'incredibly', 'professional', 'responsive', 'guestscustomers', 'hotel', 'truly', 'knows', 'hospitality', 'hard', 'say', 'goodbye', 'amazing', 'place', 'end', 'vacation', 'wife', 'already', 'intend', 'visiting', 'ubud', 'one', 'day', 'without', 'doubt', 'would', 'select', 'adiwana', 'unagi', 'suites', 'stay', 'heartbeat']",adiwana unagi suites,agoda,,pos
10,stephanie,couple,4,absolutely fantastic hotel staff,partner stayed adiwani unagi four wonderful nights hotel 5 minutes drive outside central ubud surrounded lovely forest makes feel rural incredible room overlooking jungle tree canopy infinity pool grounds hotel immaculate rooms cleanly bath nice addition hot day hotel staff went beyond make stay wonderful catering every need  even helping arrange scooter giving suggestions day trips hotel restaurant welcome addition  staff lovely remembered way liked coffee served etc restaurant serves beautiful local western food even chef came greet us say hello wait staff sweet ate tired head town  breakfast option perfect way start day hotel offers service room eat balcony view head restaurant itself again reiterate  staff made stay worthwhile commended would stay heartbeat,5/19/2022,australia,5/1/2022,2022,may,2022,may,partner stayed adiwani unagi four wonderful nights hotel 5 minutes drive outside central ubud surrounded lovely forest makes feel rural incredible room overlooking jungle tree canopy infinity pool grounds hotel immaculate rooms cleanly bath nice addition hot day hotel staff went beyond make stay wonderful catering every need even helping arrange scooter giving suggestions day trips hotel restaurant welcome addition staff lovely remembered way liked coffee served etc restaurant serves beautiful local western food even chef came greet us say hello wait staff sweet ate tired head town breakfast option perfect way start day hotel offers service room eat balcony view head restaurant reiterate staff made stay worthwhile commended would stay heartbeat,partner stayed adiwani unagi four wonderful night hotel 5 minute drive outside central ubud surrounded lovely forest make feel rural incredible room overlooking jungle tree canopy infinity pool ground hotel immaculate room cleanly bath nice addition hot day hotel staff went beyond make stay wonderful catering every need even helping arrange scooter giving suggestion day trip hotel restaurant welcome addition staff lovely remembered way liked coffee served etc restaurant serf beautiful local western food even chef came greet u say hello wait staff sweet ate tired head town breakfast option perfect way start day hotel offer service room eat balcony view head restaurant itself again reiterate staff made stay worthwhile commended would stay heartbeat,"['partner', 'stayed', 'adiwani', 'unagi', 'four', 'wonderful', 'nights', 'hotel', '5', 'minutes', 'drive', 'outside', 'central', 'ubud', 'surrounded', 'lovely', 'forest', 'makes', 'feel', 'rural', 'incredible', 'room', 'overlooking', 'jungle', 'tree', 'canopy', 'infinity', 'pool', 'grounds', 'hotel', 'immaculate', 'rooms', 'cleanly', 'bath', 'nice', 'addition', 'hot', 'day', 'hotel', 'staff', 'went', 'beyond', 'make', 'stay', 'wonderful', 'catering', 'every', 'need', 'even', 'helping', 'arrange', 'scooter', 'giving', 'suggestions', 'day', 'trips', 'hotel', 'restaurant', 'welcome', 'addition', 'staff', 'lovely', 'remembered', 'way', 'liked', 'coffee', 'served', 'etc', 'restaurant', 'serves', 'beautiful', 'local', 'western', 'food', 'even', 'chef', 'came', 'greet', 'us', 'say', 'hello', 'wait', 'staff', 'sweet', 'ate', 'tired', 'head', 'town', 'breakfast', 'option', 'perfect', 'way', 'start', 'day', 'hotel', 'offers', 'service', 'room', 'eat', 'balcony', 'view', 'head', 'restaurant', 'itself', 'again', 'reiterate', 'staff', 'made', 'stay', 'worthwhile', 'commended', 'would', 'stay', 'heartbeat']",adiwana unagi suites,agoda,,pos
10,graham,couple,5,amazing stay ,thank adiwana amazing stay ubud hotel magnificent staff unbelievably friendly attentive helpful facilities clean luxurious beautiful main pool looking ubud forest stayed pool villa enormous pool great private afternoon dip long day exploring ubud free shuttle service city excellent use spa facilities looked beautiful attached restaurant elys kitchen delicious see separate review them check quite early reception manned 24hrs day easy do even organised take away breakfast us absolutely recommend adiwana unagi suites luxurious stay ubud lucky enough return ubud would definitely stay adiwana again,1/20/2023,australia,1/1/2023,2023,january,2023,january,thank adiwana amazing stay ubud hotel magnificent staff unbelievably friendly attentive helpful facilities clean luxurious beautiful main pool looking ubud forest stayed pool villa enormous pool great private afternoon dip long day exploring ubud free shuttle service city excellent use spa facilities looked beautiful attached restaurant elys kitchen delicious see separate review check quite early reception manned 24hrs day easy even organised take away breakfast us absolutely recommend adiwana unagi suites luxurious stay ubud lucky enough return ubud would definitely stay adiwana,thank adiwana amazing stay ubud hotel magnificent staff unbelievably friendly attentive helpful facility clean luxurious beautiful main pool looking ubud forest stayed pool villa enormous pool great private afternoon dip long day exploring ubud free shuttle service city excellent use spa facility looked beautiful attached restaurant elys kitchen delicious see separate review them check quite early reception manned 24hrs day easy do even organised take away breakfast u absolutely recommend adiwana unagi suite luxurious stay ubud lucky enough return ubud would definitely stay adiwana again,"['thank', 'adiwana', 'amazing', 'stay', 'ubud', 'hotel', 'magnificent', 'staff', 'unbelievably', 'friendly', 'attentive', 'helpful', 'facilities', 'clean', 'luxurious', 'beautiful', 'main', 'pool', 'looking', 'ubud', 'forest', 'stayed', 'pool', 'villa', 'enormous', 'pool', 'great', 'private', 'afternoon', 'dip', 'long', 'day', 'exploring', 'ubud', 'free', 'shuttle', 'service', 'city', 'excellent', 'use', 'spa', 'facilities', 'looked', 'beautiful', 'attached', 'restaurant', 'elys', 'kitchen', 'delicious', 'see', 'separate', 'review', 'them', 'check', 'quite', 'early', 'reception', 'manned', '24hrs', 'day', 'easy', 'do', 'even', 'organised', 'take', 'away', 'breakfast', 'us', 'absolutely', 'recommend', 'adiwana', 'unagi', 'suites', 'luxurious', 'stay', 'ubud', 'lucky', 'enough', 'return', 'ubud', 'would', 'definitely', 'stay', 'adiwana', 'again']",adiwana unagi suites,agoda,,pos
10,gerardo,couple,3,perfect couple getaway,location place offers perfect balance peaceful isolation still shuttle away ubud central wish immerse balis cultural center staff service consistently exemplary moment checkedin time checkedout always met warm friendly courteous topnotch service breakfast afternoon tea included accommodation package enough activities services resort wish stay  dinners usually live song dance performances room spacious clean awesome views forest pool since tropical resort expect bugsmosquitoes common areas wished could stay more less defined relaxing stay bali thanks tutdhe always going beyond expected profession thanks gery dharma smooth check process,1/7/2023,philippines,11/1/2022,2023,january,2022,november,location place offers perfect balance peaceful isolation still shuttle away ubud central wish immerse balis cultural center staff service consistently exemplary moment checkedin time checkedout always met warm friendly courteous topnotch service breakfast afternoon tea included accommodation package enough activities services resort wish stay dinners usually live song dance performances room spacious clean awesome views forest pool since tropical resort expect bugsmosquitoes common areas wished could stay less defined relaxing stay bali thanks tutdhe always going beyond expected profession thanks gery dharma smooth check process,location place offer perfect balance peaceful isolation still shuttle away ubud central wish immerse bali cultural center staff service consistently exemplary moment checkedin time checkedout always met warm friendly courteous topnotch service breakfast afternoon tea included accommodation package enough activity service resort wish stay dinner usually live song dance performance room spacious clean awesome view forest pool since tropical resort expect bugsmosquitoes common area wished could stay more less defined relaxing stay bali thanks tutdhe always going beyond expected profession thanks gery dharma smooth check process,"['location', 'place', 'offers', 'perfect', 'balance', 'peaceful', 'isolation', 'still', 'shuttle', 'away', 'ubud', 'central', 'wish', 'immerse', 'balis', 'cultural', 'center', 'staff', 'service', 'consistently', 'exemplary', 'moment', 'checkedin', 'time', 'checkedout', 'always', 'met', 'warm', 'friendly', 'courteous', 'topnotch', 'service', 'breakfast', 'afternoon', 'tea', 'included', 'accommodation', 'package', 'enough', 'activities', 'services', 'resort', 'wish', 'stay', 'dinners', 'usually', 'live', 'song', 'dance', 'performances', 'room', 'spacious', 'clean', 'awesome', 'views', 'forest', 'pool', 'since', 'tropical', 'resort', 'expect', 'bugsmosquitoes', 'common', 'areas', 'wished', 'could', 'stay', 'more', 'less', 'defined', 'relaxing', 'stay', 'bali', 'thanks', 'tutdhe', 'always', 'going', 'beyond', 'expected', 'profession', 'thanks', 'gery', 'dharma', 'smooth', 'check', 'process']",adiwana unagi suites,agoda,,pos
10,eilya,couple,2,best place ubud,booked place parents enjoyed every moment there first time bali hotel made sure give best experience comfort staff really friendly kind mila nice helpful made sure parents stay comfortable easy free shuttle provided center breakfast included delicious also balinese dance evening place worth every penny definitely come back again,12/13/2023,united arab emirates,12/1/2023,2023,december,2023,december,booked place parents enjoyed every moment first time bali hotel made sure give best experience comfort staff really friendly kind mila nice helpful made sure parents stay comfortable easy free shuttle provided center breakfast included delicious also balinese dance evening place worth every penny definitely come back,booked place parent enjoyed every moment there first time bali hotel made sure give best experience comfort staff really friendly kind mila nice helpful made sure parent stay comfortable easy free shuttle provided center breakfast included delicious also balinese dance evening place worth every penny definitely come back again,"['booked', 'place', 'parents', 'enjoyed', 'every', 'moment', 'there', 'first', 'time', 'bali', 'hotel', 'made', 'sure', 'give', 'best', 'experience', 'comfort', 'staff', 'really', 'friendly', 'kind', 'mila', 'nice', 'helpful', 'made', 'sure', 'parents', 'stay', 'comfortable', 'easy', 'free', 'shuttle', 'provided', 'center', 'breakfast', 'included', 'delicious', 'also', 'balinese', 'dance', 'evening', 'place', 'worth', 'every', 'penny', 'definitely', 'come', 'back', 'again']",adiwana unagi suites,agoda,,pos
10,kimberley,couple,4,luxury instagrammable accom,first thing worth mentioning customer service truly best ever experienced anywhere world staff attentive without imposing friendly know name room stunning original artwork behind bed giving luxe touch air conditioning worked tremendously well a god send steamy bali afternoons post rain everything well appointed clean rain head shower toilet jungle surroundings something else onsite breakfast dining wonderful large selection gourmet beautifully made and fresh complimentary shuttle town made easy planning much appreciated cannot fault highly reccomend,1/6/2023,zimbabwe,12/1/2022,2023,january,2022,december,first thing worth mentioning customer service truly best ever experienced anywhere world staff attentive without imposing friendly know name room stunning original artwork behind bed giving luxe touch air conditioning worked tremendously well god send steamy bali afternoons post rain everything well appointed clean rain head shower toilet jungle surroundings something else onsite breakfast dining wonderful large selection gourmet beautifully made fresh complimentary shuttle town made easy planning much appreciated fault highly reccomend,first thing worth mentioning customer service truly best ever experienced anywhere world staff attentive without imposing friendly know name room stunning original artwork behind bed giving luxe touch air conditioning worked tremendously well a god send steamy bali afternoon post rain everything well appointed clean rain head shower toilet jungle surroundings something else onsite breakfast dining wonderful large selection gourmet beautifully made and fresh complimentary shuttle town made easy planning much appreciated can not fault highly reccomend,"['first', 'thing', 'worth', 'mentioning', 'customer', 'service', 'truly', 'best', 'ever', 'experienced', 'anywhere', 'world', 'staff', 'attentive', 'without', 'imposing', 'friendly', 'know', 'name', 'room', 'stunning', 'original', 'artwork', 'behind', 'bed', 'giving', 'luxe', 'touch', 'air', 'conditioning', 'worked', 'tremendously', 'well', 'a', 'god', 'send', 'steamy', 'bali', 'afternoons', 'post', 'rain', 'everything', 'well', 'appointed', 'clean', 'rain', 'head', 'shower', 'toilet', 'jungle', 'surroundings', 'something', 'else', 'onsite', 'breakfast', 'dining', 'wonderful', 'large', 'selection', 'gourmet', 'beautifully', 'made', 'and', 'fresh', 'complimentary', 'shuttle', 'town', 'made', 'easy', 'planning', 'much', 'appreciated', 'can', 'not', 'fault', 'highly', 'reccomend']",adiwana unagi suites,agoda,,pos
10,milla,couple,2,excellent,impressive view atmosphere calming soothing heart room super duper comfortable expected food also delicious worth it staff friendly helpful especially tutik thanks hospitality definitely come back also recommend friends,5/19/2024,indonesia,5/1/2024,2024,may,2024,may,impressive view atmosphere calming soothing heart room super duper comfortable expected food also delicious worth staff friendly helpful especially tutik thanks hospitality definitely come back also recommend friends,impressive view atmosphere calming soothing heart room super duper comfortable expected food also delicious worth it staff friendly helpful especially tutik thanks hospitality definitely come back also recommend friend,"['impressive', 'view', 'atmosphere', 'calming', 'soothing', 'heart', 'room', 'super', 'duper', 'comfortable', 'expected', 'food', 'also', 'delicious', 'worth', 'it', 'staff', 'friendly', 'helpful', 'especially', 'tutik', 'thanks', 'hospitality', 'definitely', 'come', 'back', 'also', 'recommend', 'friends']",adiwana unagi suites,agoda,,pos
8.4,ofer,couple,1,nice resort  expoensive offers,got room pool good location check quite tiring breakfast  good,10/19/2024,brazil,9/1/2024,2024,october,2024,september,got room pool good location check quite tiring breakfast good,got room pool good location check quite tiring breakfast good,"['got', 'room', 'pool', 'good', 'location', 'check', 'quite', 'tiring', 'breakfast', 'good']",adiwana unagi suites,agoda,,pos
